record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,question_text,answer_symbol,answer_boolean,explanation_text,source_page_question,source_page_answer,source_image,issue_type,issue_detail,remarks,gpt_check_status,gpt_check_note,human_check_status
KB2025-096-007,096,行政法,行政不服審査法,不服申立て（対象）,10,B,[問題文読取困難 - 審査請求の対象となる処分の法的解釈に関する問題と思われる],×,false,[解説読取困難 - 審査請求対象処分の法的解釈についての誤りを指摘する可能性。本肢は誤り],292,293,0096.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「10 ×」から確認,pending,pending,,pending
KB2025-096-008,096,行政法,行政不服審査法,不服申立て（対象）,11,A,[問題文読取困難 - 自治的な処分に対する不服申立ての手続がない場合行政不服審査法上の手続は要件として認められないとする問題と思われる],○,true,[解説読取困難 - 行政不服審査法の対象外となる処分の類型またはその根拠についての正しい指摘の可能性。本肢は正しい],292,293,0096.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「11 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-106-001,106,行政法,行政不服審査法,審査請求の審理手続,14,B,[問題文読取困難 - 審査請求人または参加人が新たな書面を提出する場合の期限設定等に関する問題と思われる（行政不服審査法32条参照）],×,false,[解説読取困難 - 審理員による書面提出期間の設定等に関して本肢記述が行政不服審査法の規定と整合しない旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ×」から確認,pending,pending,,pending
KB2025-106-002,106,行政法,行政不服審査法,審査請求の審理手続,15,B,[問題文読取困難 - 審理員が処分庁等に対して追加的な弁明書類の提出等を求めることができるかに関する問題と思われる（行政不服審査法32条参照）],○,true,[解説読取困難 - 審理員の職権による書類提出要求等の権限を認める行政不服審査法の規定（32条等）に照らして本肢が正しいと述べる内容と思われる],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「15 ○」から確認,pending,pending,,pending
KB2025-106-003,106,行政法,行政不服審査法,審査請求の審理手続,16,C,[問題文読取困難 - 審理員が審査請求に関係する行政機関の保有する情報の提供等を求めることができるかに関する問題と思われる（行政不服審査法33条参照）],×,false,[解説読取困難 - 行政不服審査法上の審理員の調査権限に関して本肢記述が誤りである旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「16 ×」から確認,pending,pending,,pending
KB2025-106-004,106,行政法,行政不服審査法,審査請求の審理手続,17,A,[問題文読取困難 - 審理員が申立てにより執行停止等を求めることができる場合に関する問題と思われる（行政不服審査法25条参照）],×,false,[解説読取困難 - 審理員の権限または審査庁の執行停止に関する決定権限について本肢記述が誤りである旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「17 ×」から確認,pending,pending,,pending
KB2025-106-005,106,行政法,行政不服審査法,審査請求の審理手続,18,A,[問題文読取困難 - 審理員が審査請求に係る事件の審査を終了し、意見書を作成する場合に関する問題と思われる（行政不服審査法42条参照）],×,false,[解説読取困難 - 審理員意見書の作成・送付に関する行政不服審査法42条の規定と本肢記述の相違を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「18 ×」から確認,pending,pending,,pending
KB2025-106-006,106,行政法,行政不服審査法,審査請求の審理手続,19,A,[問題文読取困難 - 審査請求人等が審理員意見書の内容について意見を述べることができるかに関する問題と思われる（行政不服審査法42条参照）],×,false,[解説読取困難 - 審理員意見書の取扱いに関して本肢記述が誤りである旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「19 ×」から確認,pending,pending,,pending
KB2025-106-007,106,行政法,行政不服審査法,審査請求の審理手続,20,B,[問題文読取困難 - 審査請求において審理員が終結を宣言した後の手続に関する問題と思われる（行政不服審査法41条参照）],×,false,[解説読取困難 - 審理手続の終結後の手続（審理員意見書の提出等）に関して本肢記述が行政不服審査法の規定と整合しない旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「20 ×」から確認,pending,pending,,pending
KB2025-106-008,106,行政法,行政不服審査法,審査請求の審理手続,21,B,[問題文読取困難 - 審査請求人または参加人が審理手続の終了後に申出をすることができるかどうかに関する問題と思われる（行政不服審査法41条参照）],×,false,[解説読取困難 - 審理手続終了後の申出制限に関して本肢記述が行政不服審査法の規定と整合しない旨を指摘する内容と思われる。本肢は誤り],314,315,0106.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「21 ×」から確認,pending,pending,,pending
KB2025-041-001,041,行政法,行政法の一般的な法理論,撤回と取消し,12,B,[問題文読取困難 - 相手方に授益を与えた行政行為の取消しと信頼保護の関係に関する問題と思われる],×,false,[解説読取困難 - 受益的行政行為の取消しには相手方の信頼保護の観点から制約があるとの指摘の可能性。本肢は誤り],186,187,0041.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「12 ×」から確認,pending,pending,,pending
KB2025-041-002,041,行政法,行政法の一般的な法理論,撤回と取消し,13,A,[問題文読取困難 - 既成事実が積み重なった授益的行政行為の取消し制限に関する問題と思われる（信頼保護の観点）],○,true,[解説読取困難 - 授益的行政行為は法的安定性や信頼保護の観点から取消しに制約があり一定の要件のもとでのみ許されるとの指摘の可能性。本肢は正しい],186,187,0041.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「13 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-041-003,041,行政法,行政法の一般的な法理論,撤回と取消し,14,B,[問題文読取困難 - 違法な行政行為を継続している場合の行政庁の取消義務の有無に関する問題と思われる（最高裁判例への言及の可能性）],×,false,[解説読取困難 - 行政庁が違法な授益的行政行為を取り消す義務について誤りを指摘する可能性（最判等）],186,187,0041.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「14 ×」から確認,pending,pending,,pending
KB2025-041-004,041,行政法,行政法の一般的な法理論,撤回と取消し,15,B,[問題文読取困難 - 取消しの効力が後発的事情（変更等）があった場合に及ぶ範囲または制限に関する問題と思われる],×,false,[解説読取困難 - 取消しまたは撤回の効力範囲や後発的事情との関係についての誤りを指摘する可能性],186,187,0041.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「15 ×」から確認,pending,pending,,pending
KB2025-041-005,041,行政法,行政法の一般的な法理論,撤回と取消し,16,C,[問題文読取困難 - 取消しの条件または特定の許可取消しの要件に関する問題と思われる],○,true,[解説読取困難 - 当該取消しが認められる条件について正しいとの指摘の可能性],186,187,0041.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「16 ○」から確認,pending,pending,,pending
KB2025-041-006,041,行政法,行政法の一般的な法理論,撤回と取消し,17,A,[問題文読取困難 - 行政庁の取消権の範囲または取消しの義務履行との関係に関する問題と思われる],○,true,[解説読取困難 - 行政庁の取消権の範囲または取消し後の義務関係について正しいとの指摘の可能性],186,187,0041.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「17 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-041-007,041,行政法,行政法の一般的な法理論,撤回と取消し,18,B,[問題文読取困難 - 撤回の法的性質または取消しとの区別に関する問題と思われる（遡及効の有無等）],×,false,[解説読取困難 - 撤回の法的性質（将来効のみ）または法令上の用語使用と実質の不一致について誤りを指摘する可能性],186,187,0041.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「18 ×」から確認,pending,pending,,pending
KB2025-056-001,056,行政法,行政法の一般的な法理論,行政上の強制措置の全体像,6,C,[問題文読取困難 - 行政指導や公害防止協定等の手段で義務不履行への対応を行えば行政上の強制は不要とする問題と思われる],×,false,[解説読取困難 - 行政指導等は法的強制力を持たないため義務不履行があれば別途強制措置が必要であるとの指摘の可能性。本肢は誤り],214,215,0056.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「6 ×」から確認,pending,pending,,pending
KB2025-056-002,056,行政法,行政法の一般的な法理論,行政上の強制措置の全体像,7,C,[問題文読取困難 - 義務不履行者に対して行政規則・通達等に基づき各種強制手段を適用できるとする問題と思われる],×,false,[解説読取困難 - 行政強制措置は法律の根拠に基づかなければ行使できないとの指摘の可能性。本肢は誤り],214,215,0056.png,読取揺れ,C問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「7 ×」から確認,pending,pending,,pending
KB2025-056-003,056,行政法,行政法の一般的な法理論,代執行,1,A,[問題文読取困難 - 代執行の定義（代替的作為義務の不履行に対し行政庁が義務者に代わって行為し費用を徴収する）に関する問題と思われる],×,false,[解説読取困難 - 代執行の定義についての誤りを指摘する可能性（非代替的義務も含むとする誤りまたは手続要件に関する誤り）],214,215,0056.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「1 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-056-004,056,行政法,行政法の一般的な法理論,代執行,2,A,[問題文読取困難 - 行政代執行の性質（直接強制との混同または代執行の要件）に関する問題と思われる],×,false,[解説読取困難 - 行政代執行は義務者に代わって義務内容を実現し費用を徴収するものであり直接強制とは異なるとの指摘の可能性。本肢は誤り],214,215,0056.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「2 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-056-005,056,行政法,行政法の一般的な法理論,代執行,3,A,[問題文読取困難 - 代替的作為義務以外の義務（不作為義務等）に対しても代執行が行えるとする問題と思われる],×,false,行政代執行は代替的作為義務（他者が代わって履行できる作為義務）にのみ適用され、不作為義務や非代替的義務には適用できない。本肢は誤り。,214,215,0056.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「3 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-056-006,056,行政法,行政法の一般的な法理論,代執行,4,B,[問題文読取困難 - 建物解体命令に対する代執行の手続（事前戒告の要否等）または建物解体の代執行の可否に関する問題と思われる],×,false,[解説読取困難 - 行政代執行の手続（戒告→代執行令書→代執行）に関して誤りを指摘する可能性（事前戒告の省略不可等）],214,215,0056.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「4 ×」から確認,pending,pending,,pending
KB2025-056-007,056,行政法,行政法の一般的な法理論,代執行,5,B,[問題文読取困難 - 代執行に要した費用の強制徴収の可否または徴収方法に関する問題と思われる],×,false,[解説読取困難 - 代執行に要した費用は国税滞納処分の例により強制徴収できるとの指摘または費用徴収の手続についての誤りを指摘する可能性],214,215,0056.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「5 ×」から確認,pending,pending,,pending
KB2025-066-001,066,行政法,行政法の一般的な法理論,行政罰,16,A,[問題文読取困難 - 行政上の秩序罰は行政上の秩序に関する義務違反に対して制裁として科されるものであり地方公共団体の条例によっても定めることができるとする問題と思われる],○,true,行政上の秩序罰（過料）は、行政上の秩序維持のために義務違反者に対して科せられる金銭罰であり、法律だけでなく地方公共団体の条例によっても定めることができる（地方自治法14条3項）。本肢は正しい。,234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「16 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-066-002,066,行政法,行政法の一般的な法理論,行政罰,17,A,[問題文読取困難 - 行政罰（秩序罰）は刑罰ではないため刑事訴訟法の手続ではなく秩序罰独自の手続によって科されるとする問題と思われる],○,true,行政上の秩序罰（過料）は刑罰ではないため、刑事訴訟法の手続によるのではなく、非訟事件手続法の定める手続によって科される。本肢は正しい。,234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「17 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-066-003,066,行政法,行政法の一般的な法理論,行政罰,18,A,[問題文読取困難 - 通告制として行政刑罰については刑事訴訟法的手続が必要とされ一定の制御がある旨の問題と思われる],○,true,[解説読取困難 - 通告制（交通反則金制度等）を含む行政刑罰の手続に関する正しい指摘の可能性。本肢は正しい],234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「18 ○」から確認。原本照合必須,pending,pending,,pending
KB2025-066-004,066,行政法,行政法の一般的な法理論,行政罰,19,A,[問題文読取困難 - 両罰規定において行政罰は両者に対して同一の罰則が適用されるとする問題と思われる（条例・刑罰・警察・責任保護条例等への言及の可能性）],×,false,[解説読取困難 - 両罰規定において法人と個人に対する罰則の内容または種類が異なる旨を指摘する可能性。本肢は誤り],234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「19 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-066-005,066,行政法,行政法の一般的な法理論,行政罰,20,A,[問題文読取困難 - 行政罰の違反行為は別の事業者等と他の規定が競合する場合の処理に関する問題と思われる],×,false,[解説読取困難 - 行政罰と他の制裁または罰則の競合処理についての誤りを指摘する可能性。本肢は誤り],234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「20 ×」から確認。原本照合必須,pending,pending,,pending
KB2025-066-006,066,行政法,行政法の一般的な法理論,行政罰,21,B,[問題文読取困難 - 行政罰（過料）は最高裁判所の判決によって科されるものであるとする問題と思われる],×,false,過料（秩序罰）は刑事訴訟法上の手続による刑事裁判ではなく、非訟事件手続法の定める非訟手続（過料事件）によって科される。刑事訴訟の手続を経る必要はない。本肢は誤り。,234,235,0066.png,読取揺れ,問題文が小字で正確に読み取れず。answer_symbolは右欄「21 ×」から確認,pending,pending,,pending
KB2025-066-007,066,行政法,行政法の一般的な法理論,行政罰,22,A,[問題文読取困難 - 行政罰（秩序罰）は同一の義務違反に対して繰り返し科すことができるとする問題と思われる],×,false,[解説読取困難 - 行政罰は執行罰と異なり同一義務違反への反復適用は認められないか、または一事不再理の原則の適用関係についての誤りを指摘する可能性。本肢は誤り],234,235,0066.png,読取揺れ,A問題。問題文が小字で正確に読み取れず。answer_symbolは右欄「22 ×」から確認。原本照合必須,pending,pending,,pending
