page,seq,round1_answer,round2_answer,match,question_start
031,1,○,×,DIFF,第三者の契約、合同行為などの法律行為を補充し、その法律上の効果を完成させる行為を
031,2,×,○,DIFF,公有水面の埋立免許は、 謁学上の特許にあたる。
031,3,×,○,DIFF,道路に電柱を設置するための道路管理者の許可は、 謁学上の特許にあたる。
031,5,×,○,DIFF,公益法人設立の許可は、 謁学上の特許にあたる。
032,3,×,○,DIFF,発明の特許は、講学上の確認にあたらない。
032,5,○,×,DIFF,審査請求の裁決は、講学上の確認にあたる。
033,1,○,×,DIFF,公定力とは、違法な行政行為であっても、当然無効の場合は別として、正当な権限を有す
034,4,×,○,DIFF,行政行為の瑕疵を争う場合、仮に瑕疵があったとしてもそれが重大かつ明白なものでない
035,3,×,○,DIFF,行政庁からでた義務が履行されない場合は、行政行為の持つ執行力の効果として、行政庁
036,1,×,○,DIFF,審査請求に対して裁決した行政庁が一度下した裁決を自ら覆す行為は、不服審査法に反し
036,2,×,○,DIFF,無効な行政行為は、正当な権限を有する行政庁または裁判所が無効の判断をして初めて効
037,2,○,×,DIFF,瑕疵ある行政行為について取消訴訟が提起され、現に係属中である場合でも、処分庁は、
038,4,×,○,DIFF,条例に基づく公安委員会の開設決定の取消訴訟において、撤
038,5,×,○,DIFF,普通地方公共団体の長に対する解職請求可決による投票結
039,1,×,○,DIFF,行政行為の取消しは、その成立に瑕疵がある場合に行われるものであるのに対し、行政行
040,5,×,○,DIFF,行政行為の職権取消は、私人が既に享している権利や法的地位を変動（消滅）させる行為
041,2,○,×,DIFF,瑕疵ある行政行為は、原則として取消し得るが、授益的行政行為については、取消権は制
041,3,×,○,DIFF,撤回権が留保された行政行為については、行政庁は、当該行政行為を無制限に撤回するこ
041,4,×,○,DIFF,不服申立てに対する決定、裁決は、不変更力を有するが、当該決定、裁決を行った行政庁
042,6,×,○,DIFF,法律が認める効果の一部を行政庁の意思に瑕係する附款は、法律にそのことを認める明文
043,4,○,×,DIFF,行政行為の附款は、法令自体が認めているか、または行政庁の自由裁量に認められている
043,7,○,×,DIFF,行政行為の目的に照らし必要な限度を超えて付された附款は、違法である。
043,8,○,×,DIFF,附款は、行政行為の内容について行政庁に裁量が認められている場合には、その範囲内で
043,9,×,○,DIFF,行政行為の附款を付することができる場合において、附款の内容についての明文上または
044,1,○,×,DIFF,行政庁がその裁量に任された事項について、裁量権行使の準則（裁量基準）を定めること
044,5,×,○,DIFF,附款が違法である場合は、当該附款と本体をなす行政行為とが不可分一体の関係にある場
045,2,○,×,DIFF,公立高等専門学校の校長は、学習態度や試験成績に関する評価を含め、校長に委ねられた
045,4,×,○,DIFF,道路運送法に基づく一般乗用旅客自動車運送事業（いわゆるタクシー事業）の許可につい
046,1,×,○,DIFF,公害健康被害の補償等に関する法律に基づく水俣病の認定は、欠格事由の有無という現在
049,1,○,×,DIFF,監護法（省略）の委任を受けて定められた同法施行規則（省令）において、原則として被
049,3,×,○,DIFF,通達によって示された法令解釈の適法性が訴訟において問題となったとき、裁判所は、行
050,4,○,×,DIFF,地方公共団体が指名競争入札に参加させようとする者を指名するに当たり、その元の経営
051,2,○,×,DIFF,法律上、随意契約によることができない契約を地方公共団体が随意契約でする場合であっ
053,1,×,○,DIFF,自然的条件において、取水源が貧困で現在の取水量を増加させることが困難である水源等
053,2,×,○,DIFF,行政指導として教育施設の充実に充てるために事業主に対して寄付金の納付を求めること
055,4,○,×,DIFF,行政上の強制執行を行政上の即時強制とは、前者が義務の不履行を前提としているのに対
055,5,×,○,DIFF,行政上の義務の履行確保に関しては、行政代執行法で定めるところによることとした上で
056,2,×,○,DIFF,行政代執行とは、行政上の義務の臨限行為を介在させず、直接で民限の作為または財産に
056,4,×,○,DIFF,無許可営業をしている者の不作為義務については、営業停止命令を出すことにより不作為
056,7,○,×,DIFF,義務不履行者に対しては、行政強制、前訴則の接接触などによる契約性の確保が図られる
057,4,○,×,DIFF,代執行の対象とされる義務は、法律（法律の委任に基づく命令、規則及び条例を含む。）
057,5,×,○,DIFF,行政代執行法に基づく代執行の対象となる義務は、「法律」により直接命じられ、または
057,6,○,×,DIFF,行政代執行法によれば、代執行が行われれば、代執行作為義務の場面に限られるので、そ
058,8,○,×,DIFF,代執行を行うには、あらかじめ文書で戒告をしなければならないが、非常の場合または危
059,3,×,○,DIFF,代執行に要した費用の徴収については、原則として文書をもってその納付を命じなければ
060,2,×,○,DIFF,行政上の強制執行のうち執行罰は、行政法上の義務の履行を強制するために科する罰であ
061,2,×,○,DIFF,即時強制は、金銭給付義務の不履行に対し、その履行を実現するために行われる強制作用
062,4,×,○,DIFF,行政庁が私人に対し強制を加えるためには、事前に私人に対し作為義務を課していること
062,6,×,○,DIFF,行政上の即時強制には、懲法上の令状主義は適用されない。
063,3,○,×,DIFF,直接強制に類似したものとして、即時強制がある。即時強制は、直接私人の身体又は財産
063,6,○,×,DIFF,路上駐車禁止は、それ自体は不作為義務であるが、警察官等は、過失なくして移動を命じ
064,6,○,×,DIFF,行政罰には、行政上の秩序を維持するための罰の一種としての過料がある。
064,7,○,×,DIFF,行政上の義務の履行確保手段には、間接的強制手段として、行政罰がある。その中で秩序
065,5,×,○,DIFF,行政罰についての法令に特別の規定がある場合のほかは、原則として刑法総則が適用され
066,3,×,○,DIFF,過料は、刑法総則の適用はないが、これを科すには刑事訴訟法に定める手続による必要が
066,5,×,○,DIFF,行政上の秩序罰としての過料と行政刑罰とは、併科することができないとするのが最高裁
068,3,×,○,DIFF,行政手続法においては、行政調査を行う場合、調査の遂行を逐行させる権限を及ぼさない
069,7,○,×,DIFF,聴聞は、不利益処分に与する場合にのみ実地されるが、弁明の機会は、申請者の利益に関
070,4,×,○,DIFF,「行政機関」には、国の一定の機関およびその職員が含まれるが、地方公共団体の機関は
070,6,×,○,DIFF,行政機関が行政手続法により規律されうる行政指導を行うことができるのは、行政機関が
072,5,○,×,DIFF,人の学識技能に関する試験または検定の結果についての処分については、行政手続法の適
072,7,×,○,DIFF,行政手続法には、行政調査の手続に関する通則的な規定は置かれておらず、また、間は、
074,5,○,×,DIFF,地方公共団体の機関が、その固有の資格においてすべきこととされている届出には、行政
075,1,×,○,DIFF,審査基準を定めることは行政庁の努力義務であるが、設定した場合には、これを公にして
075,2,○,×,DIFF,審査基準を公にすることによって行政上特別の支障が生じる場合、行政庁がこれを審査基
075,5,×,○,DIFF,行政庁は、申請がその事務所に到達してから当該申請に対する処分をするまでに通常要す
075,6,○,×,DIFF,行政庁が、申請の処理に要する標準処理期間を設定し、これを公表した場合において、当
076,1,○,×,DIFF,行政手続法は、申請に対する処分については、行政庁が標準処理期間を定めるよう努める
077,2,×,○,DIFF,申請拒否処分の理由については、理由を示さないで処分をするべき差し迫った必要がある
079,1,×,○,DIFF,行政庁が許認可等を取り消す不利益処分をしようとするときは、その不利益を受ける者に
079,3,×,○,DIFF,行政庁は、不利益処分をしようとする場合には、常に聴聞又は弁明の機会の付与の手続き
080,3,○,×,DIFF,旅券法に基づく一般旅券の発給拒否通知書に付記すべき理由については、いかなる事項関
081,1,×,○,DIFF,聴聞手続は行政庁の通知によって開始される。通知文書には、予定される不利益処分の内
081,3,×,○,DIFF,不利益処分の名あて人となるべき者の所在が判明しない場合には、行政庁は聴聞の通知や
081,4,×,○,DIFF,聴聞手続において、当事者が代理人の選任権を行使するには、主宰者の許可がなければな
082,4,○,×,DIFF,当事者または参加人は、聴聞の期日に出頭して、意見を陳べ、証拠書類を提出し、主宰者
082,6,○,×,DIFF,不利益処分の名宛て人となるべき者として行政庁から聴聞の通知を受けた者は、代理人を
083,1,×,○,DIFF,主宰者は、当事者の全部または一部が正当な理由なく聴聞の期日に出頭せず、かつ、陳述
084,2,○,×,DIFF,行政庁は、聴聞の終結後に生じた事情にかかが必要があると認めると認めるときは、聴聞
084,3,○,×,DIFF,行政庁は、不利益処分の決定をするときは、調書の内容および報告書に記載された聴聞の
086,2,×,○,DIFF,予定される不利益処分の内容等の通知は、行政手続法上、聴聞を経る処分の手続には認め
086,5,○,×,DIFF,聴聞においては、処分の相手方以外の利害関係人にも意見を述べることが認められること
086,6,○,×,DIFF,文書閲覧権は、行政手続法上、聴聞を経る処分の手続には認められているが、弁明の機会
087,3,○,×,DIFF,行政指導は相手方私人の任意的協力を求めるもので、法令や行政処分のように法的拘束力
087,5,○,×,DIFF,申請の取下げ指導にあっては、申請者が当該行政指導に従う意思がない旨を表明したとき
089,2,○,×,DIFF,行政指導が書面によってされた場合において相手方に通知されている事項と同一内容の行
089,3,×,○,DIFF,同一の行政目的を実現するために複数の者に対し行政指導をする場合、行政機関はあらか
090,1,×,○,DIFF,「届出」とは、行政庁に対し一定の事項の通知をする行為であって、当該行政庁にそれに
090,3,×,○,DIFF,届出は、法の定めによれば、「法令により直接に当該通知が義務付けられているの」であ
091,2,×,○,DIFF,行政機関は法律に基づく命令を定めた後においても、当該命令の実施状況や社会経済情勢
091,5,○,×,DIFF,命令等を定めようとする場合において、やむを得ない理由があるときは、その理由を公示
092,1,○,×,DIFF,法律に基づく命令、審査基準、処分基準および行政指導指針を定める場合、各省庁、緊急
092,2,×,○,DIFF,命令等の制定機関は、命令を定めようとする命令等、他の行政機関が意見公募手続きを実
092,3,×,○,DIFF,命令等制定機関は、命令等を定める根拠となる法令の規定の削除に伴い当然必要とされる
092,4,○,×,DIFF,命令等制定機関は、命令を定めようとする場合において、委員会等の議を経て命令等を定
092,6,×,○,DIFF,命令等制定機関は、意見公募手続の実施後に意見等を定めるときには所定の事項を公示す
093,2,×,○,DIFF,意見公募手続を実施して一般の意見を公募した以上、命令等を制定しないことは許されず
097,3,×,○,DIFF,行政不服審査法７条により、審査請求の対象とならないと定められている外国人の出入国
097,6,×,○,DIFF,不作為についての審査請求は、事務処理の促進を目的として規定されているため、適用除
097,7,×,○,DIFF,行政不服審査法は、不服申立制度全般について統一的、整合的に規律することを目的とす
100,1,×,○,DIFF,行政処分について審査請求の申立適格を有するのは、処分の相手方に限られ、それ以外の
100,4,×,○,DIFF,共同審査請求人の総代は、他の共同審査請求人のために、審査請求の取下げを含め、当該
102,4,○,×,DIFF,審査請求書には、審査請求に係る処分があったことを知った年月日を記載しなければなら
106,3,○,×,DIFF,審理員は、職権により、物件の所有人に対し物件の提出を求めた上で、提出された審理物
106,4,○,×,DIFF,不服申立てを審査する理由は、書証の必要に応じて、書類その他の物件の所持人にそれら
106,5,○,×,DIFF,審理員は、審査請求人または参加人の申立てがなければ、必要な場所についての検証をす
106,6,×,○,DIFF,審理員は、審査請求人または参加人の申立てがなければ、審査請求に係る事件に関し、審
107,2,×,○,DIFF,審理員が、処分についての審査請求において、必要があると認める場合には、処分庁に対
107,5,×,○,DIFF,審査請求人が死亡したときは、相続人の他に法律上の審査請求人の代理人も審査手続を継
109,4,×,○,DIFF,事実行為についての審査請求に理由がある場合は、処分庁以外の審査庁は、当該審査庁が
110,2,○,×,DIFF,不作為についての審査請求が当該不作為に係る処分についての申請から相当の期間が経過
111,1,×,○,DIFF,行政庁の処分の相手方以外の者が審査請求をした場合において、審査庁が当該処分の全部
112,5,×,○,DIFF,審査庁が処分庁または処分庁の上級行政庁のいずれでもない場合には、審査庁は、審査請
113,2,×,○,DIFF,審査庁は、処分、処分の執行または手続の続行により生ずる遅大な損害を避けるために緊
113,3,×,○,DIFF,審査請求人の申立てがあった場合において、処分、処分の執行または手続の続行により生
115,2,×,○,DIFF,行政庁の処分につき、処分庁以外の行政庁に対して審査請求することができる場合、処分
115,6,×,○,DIFF,再調査の請求においても、原則として、その審理は審理員によって支されなければならな
116,2,×,○,DIFF,再調査の請求がなされた場合、処分庁は、職権で処分の効力、執行または手続の続行を停
116,4,×,○,DIFF,審査請求および再審査請求に対する裁決については、認容、棄却、却下の3つの類型があ
117,3,○,×,DIFF,審査請求については、裁決は関係行政庁を拘束する旨の規定が置かれており、この規定は
117,5,×,○,DIFF,審査請求の対象とされた処分（原処分）を違法として棄却した審査請求の裁決（原裁決）
119,1,○,×,DIFF,処分庁が誤って実定の期間よりも長い期間を審査請求期間として教示した場合、審査請求
122,1,×,○,DIFF,行政事件訴訟法上は、行政庁の処分の取消しを求める訴訟は処分取消訴訟のみである。
122,4,○,×,DIFF,処分の取消しの訴え、無効等確認の訴え、不作為の違法確認の訴え、当事者訴訟、裁決の
123,1,○,×,DIFF,行政事件訴訟法45条の規定する争点訴訟は、同法２条の規定する訴訟類型のいずれにも
123,3,×,○,DIFF,食品衛生法に基づいて、都道府県知事に対して行った飲食店営業許可の申請に対して、相
124,2,×,○,DIFF,行政事件訴訟法は原処分主義を採用しているため、審査請求に対する裁決取消しを受けた
124,3,○,×,DIFF,審査請求を棄却する裁決を得た者が、更に訴訟を提起して原処分に内在する違法を主張し
125,1,×,○,DIFF,取消訴訟を提起できるのは、その対象となっている処分または裁決に違法がある場合に限
125,3,○,×,DIFF,行政不服審査法において「処分」には、「人の収容、物の留置その他の内容が継続的性質
126,4,×,○,DIFF,関税定率法の規定に基づき税関長が行う『輸入禁止品に該当する理由を認めるのに相当の
127,3,×,○,DIFF,公立学校の従業者的行事における教育公務員としての職務の遂行の在り方に関し校長が教
128,1,○,×,DIFF,取消訴訟は、処分または裁決の取消しを求めるについて法律上の利益を有する者に限り、
128,2,×,○,DIFF,行政事件訴訟法によれば、取消訴訟は、処分または裁決の相手方に限って提起することが
129,5,○,×,DIFF,不当景品類及び不当表示防止法は、公衆衛生の失策の<省略>
130,1,×,○,DIFF,航空機の騒音の防止は、航空機騒音防止法の目的であるとともに、航空法の目的でもある
130,2,×,○,DIFF,自転車競技法に基づく場外車券発売施設の設置許可の処分要件として定められている位置
131,2,×,○,DIFF,生活保護の変更決定の取消訴訟の原告が既に死亡した場合であっても、その相続人が請求
132,2,×,○,DIFF,公文書非公開決定処分の取消訴訟における訴えの利益は、公開請求の対象である公文書が
132,3,○,×,DIFF,森林法に基づく保安林指定解除処分の取消しが求められた場合において、立木除去等のた
132,5,○,×,DIFF,都市計画法に基づく開発許可のうち、市街化区域内にある土地を開発区域とするものの取
133,1,○,×,DIFF,都市計画法に基づく開発許可のうち、市街化調整区域内における土地開発区域とするもの
133,2,×,○,DIFF,市立保育所廃止条例を制定する行為の取消請求における訴えの利益は、当該保育所で保育
134,2,×,○,DIFF,審査請求の裁決をした行政庁は、それが国または公共団体に所属する場合であっても、当
134,3,○,×,DIFF,処分をした行政庁が国または公共団体に所属しない場合は、取消訴訟は、当該行政庁を被
134,4,×,○,DIFF,処分が、国または公共団体に所属しない行政庁によって行われた場合、当該処分の取消を
134,5,×,○,DIFF,処分があった後に当該処分をした行政庁の権限が他の行政庁に承継された場合には、当該
135,1,○,×,DIFF,行政事件訴訟法によれば、取消訴訟は、処分または裁決があったことを知った日から6か
135,5,×,○,DIFF,国を被告とする取消訴訟は、原告の普通裁判籍の所在地を管轄する高等裁判所の所在地を
137,2,×,○,DIFF,取消訴訟の審理は、処分の違法性一般であるから、取消訴訟を提起した原告は、自己の法
137,3,○,×,DIFF,自己の法律上の利益に関係のない違法を理由に取消しを求めることはできないから、その
137,5,×,○,DIFF,「処分の取消しの訴え」の地方裁判所原則に、関連請求として損害賠償請求が追加的に併
137,6,×,○,DIFF,「裁決の取消しの訴え」と「処分の取消しの訴え」と併合して提起するようなことは、許
139,2,×,○,DIFF,行政事件訴訟法31条1項に規定する事情判決は、処分の違法を認める判決であるから、
139,3,○,×,DIFF,事情判決の制度は、私人の利益の保護よりも、公共の福祉の実現を優先させる制度である
139,4,○,×,DIFF,行政事件訴訟法31条1項に規定する事情判決は、行政事件訴訟に特有な制度であり、行
139,5,×,○,DIFF,事情判決をする場合、裁判所は、判決の主文において、処分または裁決が違法であること
139,7,×,○,DIFF,事情判決は、原告の請求を棄却するものなので、被告側に判決不服がある場合でも、訴え
140,2,×,○,DIFF,行政事件訴訟法31条1項に規定する事情判決においては、処分の違法を理由するともに
141,1,×,○,DIFF,申請を拒否する処分に対する審査請求の棄却裁決を取り消す判決は、裁決をした行政庁そ
141,2,×,○,DIFF,実質的当事者訴訟における原告勝訴の判決は、その事件について、被告だけでなく、関係
142,2,○,×,DIFF,仮の義務付けおよび仮の差止めは、それぞれ義務付け訴訟および差止訴訟を提起しなけれ
142,3,×,○,DIFF,処分の執行の停止は、処分の効力の停止や手続の続行の停止によって目的を達することが
142,4,×,○,DIFF,従来、きわめて厳格であった「回復の困難な損害を避けるため緊急の必要があるとき」と
143,2,×,○,DIFF,執行停止の決定は、裁判所が破毀に基づいて行うが、口頭弁論を経て行わなければならな
143,4,×,○,DIFF,執行停止の申立てがあったときは、内閣総理大臣は、裁判所に対し、執行停止の決定の前
143,6,○,×,DIFF,内閣総理大臣の異議は、下級裁判所による執行停止決定に対するものであって、最高裁判
144,2,○,×,DIFF,取消訴訟においては、自己の法律上の利益に関係のない違法を理由として取消しを求める
144,5,○,×,DIFF,「無効等確認の訴え」を、処分の無効に基づく損害賠償の訴えに変更することは、許され
144,6,×,○,DIFF,無効確認訴訟は、処分の取消訴訟につき審査請求の前置が要件とされている場合において
145,3,×,○,DIFF,無効確認訴訟は、処分が無効であることを前提とする現在の法律関係に関する訴えによっ
145,4,○,×,DIFF,無効確認訴訟は、処分が無効であることを主張して提起する訴訟であるから、当該処分に
147,2,×,○,DIFF,法令に基づく申請に対して相当の期間内に何らの処分もされない場合においては、不作為
147,3,×,○,DIFF,Ｘが市立保育園に長女Ａの入園を申込んだところ拒否された場合において、Ｘが反対処分
147,4,×,○,DIFF,義務付け訴訟は、行政庁の判断を待たず裁判所が一定の処分を義務付けるものであるから
150,2,×,○,DIFF,民衆訴訟は、選挙人たる資格を有する者に限り、提起することができる。
150,3,○,×,DIFF,民衆訴訟は、住民訴訟や選挙の効力に関する訴訟のように、法律で定められたものに限ら
151,3,×,○,DIFF,地方自治法に基づいて、市町村の境界に係る都道府県知事の裁定に対して関係市町村が提
152,2,○,×,DIFF,原処分でなく裁決に対しての取消訴訟を認める旨の定めがある場合に、当該処分を行う際
154,5,×,○,DIFF,国家賠償法第1条の「職務を行うについて」の中には、作
154,6,×,○,DIFF,国・公共団体の機関は、規制権限の行使・不行使に関する
156,1,○,×,DIFF,検察官は合理的な疑疑があれば公訴を提起することが許されるのであるから、検察官が起
156,3,×,○,DIFF,公立学校のプールにおける飛込みで事故が起きた場合、国家賠償法1条という「公権力の
156,4,×,○,DIFF,所得金額を過大に認定して行われた所得税の更正は、直ちに国家賠償法1条1項の適用上
156,5,×,○,DIFF,規制的な行政指導によって、私人が損失の損害を受けた場合には国家賠償請求訴訟によっ
157,5,×,○,DIFF,国家賠償法は、国・公共団体の個別・具体的な公権力の行使にかかる賠償責任であるから
160,2,×,○,DIFF,営造物の設置管理に瑕疵があるとは、その物が通常有すべき安全性を欠いていることをい
163,1,×,○,DIFF,違法な行政庁の処分に対し国家賠償請求訴訟を提起して勝訴するためには、あらかじめ当
164,2,×,○,DIFF,インフルエンザ予防接種に伴い、注射を受けた者がショック死する等の事故が生じた場合
167,1,○,×,DIFF,「政令指定都市」「中核市」は、いずれも「市」の特例として設けられているのにすぎな
167,6,×,○,DIFF,市が中核市の指定の申出をしようとするときは、当該市は、あらかじめ議会の議決を経て
168,2,×,○,DIFF,「地方公共団体の組合」は、普通地方公共団体だけで構成されている場合は、普通地方公
169,3,×,○,DIFF,広域連合は、市区町村から構成される「市区町村広域連合」と、都道府県と関の地方自治
169,5,○,×,DIFF,国または都道府県は、その権限や事務を、直接広域連合に委任することができ、また、広
169,6,○,×,DIFF,広域連合は、構成団体に対して広域連合の規約の変更を要請することができる。また広域
169,7,×,○,DIFF,広域連合には構成団体の住民による直接請求の制度があるが、長および議会議員の選出に
170,2,×,○,DIFF,自治体の処理する事務のうち、自治事務に関しては法律で内容的な定めを設けることはで
170,4,×,○,DIFF,地方自治法は、かつての国家が定めていた機関委任事務制度のような組織を定めていなか
171,2,○,×,DIFF,法律又はこれに基づく政令により地方公共団体が処理するとされる事務を自治事務である
173,4,×,○,DIFF,地方自治法の規定する議会の議決事項は限定列挙と解されているため、地方自治体が条例
176,2,×,○,DIFF,普通地方公共団体の議会の議員は、予算について、議会に議案を提出することができる。
176,3,×,○,DIFF,議員は、予算を除く議会の議決すべき事件につき、議案に議案を提出することができるが
178,1,×,○,DIFF,副知事および副市町村長は、普通地方公共団体の長が議会の同意を得ずに選任できる。
179,3,○,×,DIFF,議会が再議請求に付された議案を再び可決したときは、その議決は確定する。
180,6,×,○,DIFF,議会において地方公共団体の長に対する不信任議決が行われたとき、地方公共団体の長は
182,7,×,○,DIFF,都道府県には、農業委員会を置かなければならない。
183,4,×,○,DIFF,監査委員は、普通地方公共団体の長が選任し、それについて議会の同意を得る必要はない
183,5,×,○,DIFF,普通地方公共団体の常勤の職員は、監査委員を兼務することができない。
183,8,×,○,DIFF,監査委員の権限は、地方公共団体の財務に関する事務執行およびその経営に関する事業の
184,1,○,×,DIFF,地域自治区とは、地域の住民の意見を行政に反映させるとともに、行政と住民の連携の強
184,4,×,○,DIFF,監査委員による監査は、長、議会または住民からの請求があったときのみ行われるため、
185,2,×,○,DIFF,自治事務に関する条例は法律の個別授権を受けることなく定めることができるが、私人の
185,3,×,○,DIFF,条例には、法律の個別委任がない限り、刑罰でない過料を規定することもできない。
185,5,×,○,DIFF,条例によって健全な風俗を害する行為を規制することは許されるが、規制の程度、趣意等
187,1,×,○,DIFF,地方公共団体は、給付行政やサービス行政については、要綱で住民に義務を課すことがで
187,3,○,×,DIFF,普通地方公共団体の長は、法令に特別の定めがあるものを除くほか、普通地方公共団体の
187,4,×,○,DIFF,法律の委任がある事項につき、委任の範囲内で条例に罰則を定めることは可能である。
188,1,×,○,DIFF,地方公共団体は、予算外の支出が必要な場合には、必ず追加の補正予算を組まなければな
189,2,○,×,DIFF,一般競争入札とは、不特定多数の者を入札に参加させ契約の相手方とするために競争させ
190,3,×,○,DIFF,随意契約とは、競争の方法によらないで、特定の相手方を任意に選択して締結する方法で
192,2,○,×,DIFF,外部監査制度には、包括外部監査制度と個別外部監査制度とがあり、前者は、都道府県、
193,5,×,○,DIFF,包括外部監査制度は、法令で義務が義務づけられていない地方公共団体以外は、条例によ
194,3,×,○,DIFF,住民は、日本国籍の有無にかかわらず、その属する普通地方公共団体の選挙に参与する権
194,4,×,○,DIFF,普通地方公共団体の事務の執行に関する事務監査請求は、当該普通地方公共団体の住民で
194,6,×,○,DIFF,都道府県は、別に法律の定めるところにより、その住民につき、住民たる地位に関する正
195,2,○,×,DIFF,法人認可を受ける地縁団体は、その区域内に住所を有するすべての個人のすべてが加入で
196,3,×,○,DIFF,地方自治法上，条例の制定改廃請求権者は，普通地方公共団体の議会の議員および只民の
198,1,○,×,DIFF,普通地方公共団体の議会の議員およびその選挙を行う者は、原則として、その総数の3分
198,4,×,○,DIFF,市町村の事務監査の請求は、市町村の議会の議員および市町村長の選挙権を有する者の総
198,5,×,○,DIFF,普通地方公共団体の事務の執行に関する事務監査請求は、当該普通地方公共団体の住民で
198,6,○,×,DIFF,事務監査請求は、当該普通地方公共団体の住民であれば、日本国民であるか否か、また選
199,1,×,○,DIFF,普通地方公共団体の議会の議員および長の選挙権を有する者は、その総数の5分の1以上
199,3,×,○,DIFF,副町村長の解職の請求は、市町村の議会の議員および市町村長の選挙権を有する者の総数
200,1,×,○,DIFF,住民監査請求は事務監査請求とは異なり、当該地方公共団体の住民に限らず、何人であっ
201,2,×,○,DIFF,住民監査請求の監査の結果もしくは勧告が出されるまでは、住民訴訟を提起することは許
201,4,×,○,DIFF,自ら住民監査請求を行っていない住民であっても、当該普通地方公共団体の他の住民が住
201,5,×,○,DIFF,住民訴訟を提起する者は、その対象となる財務会計行為が行われた時点おいて当該普通地
