chapter,page,seqNo,reason_for_sampling,risk_type,source_needed,review_status
gyosei-kokubai,158,3,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-kokubai,157,1,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-kokubai,159,4,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,083,4,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,074,3,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,083,5,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,083,1,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,076,4,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,079,3,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,070,5,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,074,5,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,091,3,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
gyosei-tetsuzuki,078,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei_keiyaku,051,2,結論フレーズなし（正誤逆転の偽陰性リスク）,answer_no_conclusion_phrase,テキスト確認のみ,未レビュー
gyosei_keiyaku,051,4,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
gyosei_keiyaku,051,3,結論フレーズなし（正誤逆転の偽陰性リスク）,answer_no_conclusion_phrase,テキスト確認のみ,未レビュー
gyosei_keiyaku,051,1,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,013,6,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,要原本照合,未レビュー
kenpo-tochi,015,1,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,012,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,005,1,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,014,5,ランダムサンプリング（ベースライン）,baseline,要原本照合,未レビュー
kenpo-tochi,007,5,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,016,3,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
kenpo-tochi,016,4,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
kenpo-tochi,001,8,短い解説（偽陰性リスク: explanation内容誤り）,explanation_content,テキスト確認のみ,未レビュー
kenpo-tochi,005,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,250,4,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,245,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,246,7,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,247,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,246,5,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,245,3,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,246,3,結論フレーズなし（正誤逆転の偽陰性リスク）,answer_no_conclusion_phrase,テキスト確認のみ,未レビュー
minpo-bukken,248,4,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,250,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-bukken,249,2,ランダムサンプリング（ベースライン）,baseline,テキスト確認のみ,未レビュー
minpo-sosoku,243,2,短い解説（偽陰性リスク: explanation内容誤り） / OCR多発章（7件）,explanation_content|ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,236,5,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,232,2,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,242,5,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,235,2,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,220,2,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,226,4,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,220,1,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,225,5,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,239,3,結論フレーズなし（正誤逆転の偽陰性リスク） / OCR多発章（7件）,answer_no_conclusion_phrase|ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,238,3,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,240,3,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,233,4,結論フレーズなし（正誤逆転の偽陰性リスク） / OCR多発章（7件）,answer_no_conclusion_phrase|ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,232,3,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
minpo-sosoku,230,5,OCR多発章（7件）,ocr_heavy_chapter,要原本照合,未レビュー
