record_id,image_seq,subject,subject_middle,section_title,question_no,rank_label,question_text,answer_symbol,answer_boolean,explanation_text,source_image,issue_flag,issue_type,issue_detail,remarks,human_check_note,gpt_check_status,gpt_check_note
KB2025-031-007,031,行政法,行政法の一般的な法理論,認可,1,A,私人間の行為の効力を補完・完成させる行政行為を「認可」といい、農地法3条の権利移転許可もこれにあたる。,○,True,認可とは、私人間の行為の効力を補完・完成させる行政行為をいう。農地法3条に基づく農地の権利移転許可は私人間の権利移転行為の効力を補完するものであり「認可」にあたる。本肢は正しい。,0031.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-031-008,031,行政法,行政法の一般的な法理論,認可,2,A,認可とは、私人の行為を補充してその法律上の効力を完成させる行政行為をいい、農地法3条の権利移転許可はその例である。,○,True,認可は私人間の行為の効果を補完して法律上の効力を完成させるものであり、農地法3条に基づく農地の権利移転許可もこれに含まれる。本肢は正しい。,0031.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-032-002,032,行政法,行政法の一般的な法理論,認可,4,B,認可を受けない私人間の行為は、原則として法律上の効力を生じない（無効となる）。,○,True,認可は私人間の行為の効力を補完する行政行為であり、認可を受けない行為は原則として効力を生じない。本肢は正しい。,0032.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-032-003,032,行政法,行政法の一般的な法理論,認可,5,C,認可は、私人間の法律行為の効力を補完する行政行為であるから、その対象は法律行為に限られ、事実行為に対する認可というものは存在しない。,×,False,認可の典型的対象は法律行為であるが、必ずしも法律行為に限定されるものではない。事実行為に対する認可が存在しないとする本肢は誤っている。,0032.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-032-004,032,行政法,行政法の一般的な法理論,確認,1,A,確認とは、特定の事実または法律関係の存否について、公の機関が新たな権利義務関係を創設する行政行為をいい、建築確認がその例である。,×,False,確認は、既存の事実・法律関係の存否を公権的に確定する行為であり、新たな権利義務を創設するものではない。権利義務を創設するとする本肢は誤っている。,0032.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-032-006,032,行政法,行政法の一般的な法理論,確認,3,B,発明の特許は、新たに発明者に特許権を設定する行政行為であるから、行政法学上の「確認」にはあたらない。,×,False,発明の特許は、特許庁が特許要件を審査して発明の権利の存在を確認するものであるから、行政法学上の「確認」にあたる。確認にあたらないとする本肢は誤っている。,0032.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-032-008,032,行政法,行政法の一般的な法理論,確認,5,B,審査請求の裁決は、既存の法律関係の存否を公権的に確定するものであるから、行政法学上の「確認」にあたる。,○,True,審査請求の裁決等は、申立てに対して法律関係の存否を公権的に確定するものであり、行政法学上「確認」にあたる。本肢は正しい。,0032.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-033-002,033,行政法,行政法の一般的な法理論,効力発生時期,1,A,行政行為の効力は、特別の規定のない限り、行政庁が当該行為を発信した時に生じる。,×,False,行政行為の効力は、特別の規定のない限り、相手方に到達した時に生じるのが原則（到達主義）である。発信時に生じるとする本肢は誤っている。,0033.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-033-003,033,行政法,行政法の一般的な法理論,拘束力,1,B,行政行為の拘束力（自縛力）は、その相手方である私人に対してのみ及び、処分庁自身には及ばない。,×,False,行政行為の拘束力は相手方だけでなく処分庁自身にも及び、処分庁は正当な理由なくその行為を自由に撤回・変更することができない。処分庁には及ばないとする本肢は誤っている。,0033.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-033-004,033,行政法,行政法の一般的な法理論,公定力,1,A,公定力とは、違法な行政行為であっても、権限ある機関によって取り消されるまでは有効なものとして通用する効力をいう。,○,True,公定力の説明として正しい。行政行為は、違法であっても権限ある機関（審査庁・取消訴訟の裁判所等）によって取り消されるまでは一応有効なものとして通用する。本肢は正しい。,0033.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
KB2025-033-005,033,行政法,行政法の一般的な法理論,公定力,2,B,公定力は、処分の名宛人である私人に対して及ぶものであり、国や公共団体には及ばない。,×,False,公定力は私人だけでなく、国・公共団体を含むすべての者に対して及ぶ。国や公共団体には及ばないとする本肢は誤っている。,0033.png,1,読取揺れ,,pending,推測補完のため flagged 戻し。原本画像で問題文を直接確認後に done へ変更してください。,pending,
