page,seq,round1_answer,round2_answer,match,question_start
007,2,×,×,MATCH,すべての裁判官が、その任命後初めて行われて衆議院議員総選挙の際、国民審査に付され
007,3,×,×,MATCH,最高裁判所の裁判官は、任命後初めて行われる衆議院議員総選挙の際に国民の審査に付さ
007,4,○,○,MATCH,最高裁判所の裁判官の国民審査において、投票者の多数が裁判官の罷免を可とするときは
007,5,○,○,MATCH,最高裁判所の裁判官は、法律の定める年齢に達した時に退官する。
007,6,×,×,MATCH,下級裁判所の裁判官は、法律の定める年齢に達した時に退官するが、最高裁判所の裁判官
007,7,○,○,MATCH,下級裁判所の裁判官は、最高裁判所の指名した者の名簿に基づいて内閣が任命する。
007,8,○,×,DIFF,裁判官の身分保障に関連して、下級裁判所の裁判官の任期は10年であり、仮に再任され
008,1,○,×,DIFF,最高裁判所の裁判官は、国民審査による場合を除いて、裁判により、心身の故障のために
008,2,×,○,DIFF,最高裁判所の裁判官は、公の弾劾によって罷免されるが、下級裁判所の裁判官には、弾劾
008,3,○,○,MATCH,裁判官の懲戒処分は、行政機関がこれを行うことはできない。
008,4,×,×,MATCH,最高裁判所の裁判官の報酬は、在任中、これを減額することができる。
008,5,○,○,MATCH,裁判官の身分保障に関連して、下級裁判所の裁判官は、憲法上、すべて定期に相当額の報
008,6,×,×,MATCH,下級裁判所の裁判官については、国民審査の制度がなく、任期が10年と定められている
009,1,○,×,DIFF,最高裁判所は、法令が憲法に適合するかしないかを決定する権限を有する終審裁判所であ
009,2,×,○,DIFF,最高裁判所は、一切の法律、命令等に違憲審査権を有するが、下級裁判所は、この権限を
009,3,×,○,DIFF,わが裁判所が現行の制度上与えられているのは司法権を行う権限であり、そして司法権が
010,1,○,○,MATCH,裁判の判決は、いかなる場合も公開法廷で行わなければならない。
010,2,×,×,MATCH,政治犯罪に関する事件については、裁判官の全員一致で決定した場合は、非公開で対審を
010,3,×,○,DIFF,憲法は、裁判は公開の法廷における対審および判決によってなされると定めているが、訴
010,4,×,×,MATCH,裁判所が裁判を行う場合は、それが純然たる訴訟事件である刑事訴訟を事件としての刑事
010,5,×,×,MATCH,裁判官の懲戒の裁判は行政処分の性質を有するから，裁判官の身分に関わる手続であるか
010,6,○,×,DIFF,証人尋問の際に，傍聴人と証人との間で会い掛け審問が採られても，審理が公開されてい
011,1,×,×,MATCH,内閣は、災害等緊急の必要があるときは、予算によることなく、政令によって財政上必要
011,2,○,○,MATCH,新たに租税を課すには、法律又は法律の定める条件によることを必要とする。
011,3,×,○,DIFF,わが国は租税法律主義をとっているので、地方公共団体は、地方税について条例によりそ
012,1,×,×,MATCH,予算の支出を伴う法律案が国会に提出される前に、予算の
012,2,×,×,MATCH,国会議員は予算を作成し，国会へ提出する権利がある。
012,3,×,×,MATCH,予算の提出権は内閣に専属しているので，国会議員は，予
012,4,×,×,MATCH,予算は，一会計年度の間のみ通用し，数年度にわたって支出
012,5,×,×,MATCH,予算の提出権は内閣にのみ認められているので，国会は予
012,6,×,×,MATCH,国会が議決した予算の公布は，法律，政令，条令るびの公
013,1,×,×,MATCH,宗教上の組織又は団体の使用、便益又は維持のために、公金その他の公の財産を支出し、
013,2,×,○,DIFF,国有財産を特定の宗教団体のためにのみ利用させるには、国会の議決に基づかなければな
013,3,○,×,DIFF,公金は、公の支配に属しない慈善、教育もしくは博愛の事業に対し、支出してはならない
013,4,○,○,MATCH,予備費の支出について、事後に国会の承諾を得られない場合でも、合でも、すでになされ
014,1,×,○,DIFF,会計検査院は、国会及び国民に対し定期的に国の財政状況を報告しなければならない。
014,2,×,×,MATCH,内閣は、国会及び国民に対し、定期に、少なくとも毎年2回、国の財政状況を報告しなけ
014,3,×,×,MATCH,決算は、予算の場合と同様に、先に衆議院に提出しなければならない。
015,1,×,×,MATCH,大日本帝国憲法には、地方自治について規定した条項が設けられていたが、日本国憲法は
015,2,○,○,MATCH,地方公共団体の組織及び運営に関する事項は、地方自治の本旨に基づいて、法律で定める
015,3,○,○,MATCH,地方公共団体には、法律の定めるところにより、その議事機関として議会を設置する。
015,4,×,×,MATCH,地方公共団体の長、その議会の議員および「法律」の定めるその他の吏員は、その地方公
015,5,×,×,MATCH,地方公共団体の議会の議員は、間接選挙によって選ぶことができる。
015,6,○,○,MATCH,地方公共団体の長及びその議会の議員はその地方公共団体の住民が直接選挙する。
015,7,×,×,MATCH,特別地方公共団体である特別区は、その長を住民が直接選挙できる地方公共団体に認めら
015,8,○,○,MATCH,地方公共団体はその財産を管理し、事務を処理し、及び行政を執行する権能を有する。
016,1,×,×,MATCH,地方公共団体は、その事務を処理し、及び行政を執行する機能を有するが、その財産を管
016,2,×,×,MATCH,地方公共団体の長は、法律の範囲内で条例を制定することができる。
016,3,×,×,MATCH,条例制定権は、日本国憲法により保障されているものであるから、条例の制定手続きその
016,4,×,○,DIFF,地方公共団体が制定する条例は、法令に違反することはできないから、個別の法律の根拠
016,5,○,○,MATCH,一の地方公共団体のみを適用される特別法は、国会の議決だけでは制定できず、その地方
016,6,×,×,MATCH,一の地方公共団体のみを適用される特別法は、その地方公共団体の議会の同意を得なけれ
016,7,○,○,MATCH,国会は、国の唯一の立法機関であるが、地方公共団体も法律の範囲内で条例を制定するこ
017,1,○,○,MATCH,この憲法の改正は、各議院の総議員の3分の2以上の賛成で、国会が、これを発議し、国
017,2,○,○,MATCH,憲法の改正は国会が発議するが、そのためには、各議院の総議員の3分の2以上の賛成が
017,3,×,×,MATCH,憲法の改正は国会が発議するが、両議院の意見が一致しない場合には、衆議院の議決が国
017,4,×,×,MATCH,各議院の総議員の3分の2以上の賛成により、特別の憲法制定議会が召集され、そこにお
017,5,×,×,MATCH,憲法の改正について国民の承認を得るには、特別の国民投票においてその3分の2以上の
017,6,×,○,DIFF,憲法改正について国民の承認が得られた場合、内閣総理大臣は、直ちにこれを公布しなく
020,1,×,×,MATCH,地方公共団体が、その施策を社会情勢の変動等に伴って変更することがあることはより当
020,2,○,×,DIFF,課税処分において信義則の法理の適用により当該課税処分が違法であるとして取り消され
020,3,×,×,MATCH,公務員として採用された者が有罪判決を受け、その時点で失職していなかったのとき、裁
020,4,×,○,DIFF,行政主体が一方的なものとして採用決定の取消しについて通挙信義則により信義に反した
020,5,○,○,MATCH,行政主体が善意の無過失であったが規則違反の事実が発覚した場合、内定を撤回する規定
021,1,×,×,MATCH,租税滞納処分は、国家が公権力を発動して財産所有者の意思いかんにかかわらず一方的に
021,2,×,×,MATCH,自作農創設特別措置法に基づく農地買収処分について、民法の対抗要件の規定が適用され
021,3,○,○,MATCH,建築基準法において、防火地域または準防火地域内にある建物等が構造が標準のものにつ
021,4,×,×,MATCH,公営住宅に入居するにあたって、入居者は地方公共団体がもらも所有する必要はなければ
023,1,×,×,MATCH,行政機関が、行政主体のために行うことのできる事柄・活動の範囲は機能と呼ばれ、私法
023,2,×,×,MATCH,法定権限を有する大臣をトップとする省庁は、公益法人であり、公法上の権利・義務の帰
023,3,○,○,MATCH,行政庁とは、行政主体の意思を決定し、これを外部に対して表示する権限を有する行政機
023,4,×,×,MATCH,行政庁は独任制でなければならず、委員会などの合議体が行政庁としての役割を果たすこ
023,5,×,×,MATCH,行政庁、諮問機関、参与機関などの行政機関の定義は、国家行政組織法において定められ
023,6,×,×,MATCH,諮問機関とは、行政庁から諮問を受け意見を具申する行政機関で、その答申が行政庁の意
023,7,×,×,MATCH,法令上諮問機関への諮問が義務づけられている場合、諮問を経ないで行った行政庁の行為
024,1,○,○,MATCH,行政庁は、他の行政庁が行った決定を、それが明白に権限を超越していない限り、尊重す
024,2,○,×,DIFF,監査機関とは、地方公共団体の監査委員などのように、行政機関の事務や会計の処理を検
024,3,×,×,MATCH,執行機関とは、行政主体の法訴上の意思の実定をし外部に対して表示し、これを執行する
024,4,×,×,MATCH,補助機関とは行政主体の手足として実力を行使する機関であり，警察官、取締官などがこ
024,5,×,×,MATCH,補助機関とは、行政庁その他の行政機関の職務を補助し、行政目的を実現するために必要
024,6,×,×,MATCH,公正取引委員会は、経済産業省の外局である。
024,7,×,○,DIFF,国家公務員の人事行政に関する各種の事務をつかさどるため、総務省の外局として人事院
025,1,○,×,DIFF,上級の行政庁は下級の行政庁に対し訓令権を有しているので、下級の行政庁の違法又は不
025,2,×,○,DIFF,行政庁の権限を補助機関が執行する場合には、代決の場合とは異なり、処分権限は行政庁
025,3,×,×,MATCH,各省大臣は、国務大臣のうちから内閣総理大臣が命ずるが、内閣総理大臣が自ら各省大臣
025,4,×,×,MATCH,各省大臣は、その機関の事務を統括し、職員の服務について、これを統督するが、その機
025,5,○,×,DIFF,各省大臣は、主任の行政事務について、法律または政令の制定、改正または廃止を必要と
025,6,○,○,MATCH,各省大臣は、主任の行政事務について、法律もしくは政令を施行するため、または法律も
025,7,×,×,MATCH,各省の外局として置かれる各庁の長および各委員会は、規則その他の特別の命令を発する
026,1,×,×,MATCH,各省大臣は、主任の大臣として、それぞれ行政事務を分担管理するものとされ、内閣総理
026,2,×,○,DIFF,内閣に置かれる内閣府の長である内閣官房長官は、内閣府の命令である内閣府令を発する
026,3,×,×,MATCH,内閣府令は内閣府の長である内閣総理大臣が制定し、省令各省大臣がその分担管理する行
026,4,×,○,DIFF,公正取引委員会、公害等調整委員会、中央労働委員会などの委員会は、庁と同様に外局の
026,5,○,○,MATCH,国税庁、林野庁など、各省の外局として設置され、庁の名称を持つ組織の長である各庁長
027,1,×,○,DIFF,授権代理は、他の機関に対し自己に代理してその機関の権限を与えるものであり、法律の
027,2,×,×,MATCH,行政庁の権限の代理は、実際に権限を行使できる場合に、法律の定めに従い指名された他
027,3,○,×,DIFF,法定代理は、行政庁が欠けたときに法律上当然に代理関係が生ずる。
027,4,○,○,MATCH,上級の行政庁は、下級の行政庁に対し権限を委任した場合であっても当該下級の行政庁を
028,1,×,×,MATCH,国有財産法では、行政財産について法律行為による私権の設定を禁じ、遺失行為を無効と
028,2,×,×,MATCH,国または公共団体は、私有の公物につき時効取得することが認められていないのであるか
028,3,○,○,MATCH,公物であっても、長年の事実上公の目的に使用されず、公用廃止として維持すべき理由が
029,1,×,×,MATCH,許可は、一般的な禁止を特定の場合に解除するものであり、その性質上、許可された地位
029,2,×,×,MATCH,既に法令または行政行為によって課されている一般的禁止を特定の場合に解除する行為を
029,3,×,×,MATCH,許可を要する行為を許可を受けないでしました場合は、強制執行または処罰の対象とされ
029,4,○,×,DIFF,火薬類輸入の許可は、講学上の許可にあたる。
030,1,×,×,MATCH,既に法令または行政行為によって課されている一般的禁止を特定の場合に解除する行為を
030,2,○,○,MATCH,農地転用の許可は、譲許上の許可にあたる。
030,3,○,×,DIFF,特定の人のために新たな権利を設定し、その法令上の地位を付与する行為を許可という。
030,4,×,×,MATCH,電気事業法に基づいて経済産業大臣が行う電気事業の「許可」は、行政行為の分類上、「
030,5,○,○,MATCH,ガス事業法に基づいて経済産業大臣が一般ガス事業者に対して行う供給約款の「認可」は
030,6,○,○,MATCH,銀行法に基づいて内閣総理大臣が行う銀行どうしの合併の「認可」は、行政行為の分類上
030,7,×,×,MATCH,建築基準法に基づいて建築主事が行う建築「確認」は、行政行為の分類上、「認可」であ
031,1,○,×,DIFF,第三者の契約、合同行為などの法律行為を補充し、その法律上の効果を完成させる行為を
031,2,×,○,DIFF,公有水面の埋立免許は、 謁学上の特許にあたる。
031,3,×,○,DIFF,道路に電柱を設置するための道路管理者の許可は、 謁学上の特許にあたる。
031,4,×,×,MATCH,外国人の帰化の許可は、 謁学上の特許にあたる。
031,5,×,○,DIFF,公益法人設立の許可は、 謁学上の特許にあたる。
031,6,×,×,MATCH,自動車の運転免許は、 免許を受けた者に対し、公道上で自動車を運転できるという権利
031,7,×,×,MATCH,医師の免許は、 謁学上の特許にあたらない。
032,1,×,×,MATCH,特定の事実または法律関係の存否について、公の権威をもって判断しこれを確定する行為
032,2,×,×,MATCH,特定の事実または法律関係の存在を公に証明する行為を確認といい、選挙人名簿への登録
032,3,×,○,DIFF,発明の特許は、講学上の確認にあたらない。
032,4,○,○,MATCH,所得税の決定は、講学上の確認にあたる。
032,5,○,×,DIFF,審査請求の裁決は、講学上の確認にあたる。
033,1,○,×,DIFF,公定力とは、違法な行政行為であっても、当然無効の場合は別として、正当な権限を有す
033,2,×,×,MATCH,国民の身体又は財産に行政庁が制限を加える行政行為には公定力が認められるのに対し、
034,1,○,○,MATCH,自力執行力とは、行政行為による義務を、相手方が履行しない場合、行政庁が裁判所の判
034,2,×,×,MATCH,すべての行政行為に自力執行力が認められるわけではないが、行政庁が法律により国民に
034,3,×,×,MATCH,行政行為は公定力を有するから、その成立に重大かつ明白な瑕疵がある場合でも正当な権
034,4,×,○,DIFF,行政行為の瑕疵を争う場合、仮に瑕疵があったとしてもそれが重大かつ明白なものでない
034,5,×,×,MATCH,行政処分の違法性を争点とする刑事訴訟において被告人が処分の違法を前提とする主張を
035,1,×,×,MATCH,不可変更力とは、権限ある機関が一旦判断を下した以上自らその判断を覆しえない効力を
035,2,×,×,MATCH,旧自作農創設特別措置法に基づく農地買収計画の決定に対してされた裁決を覆そうる裁決
035,3,×,○,DIFF,行政庁からでた義務が履行されない場合は、行政行為の持つ執行力の効果として、行政庁
036,1,×,○,DIFF,審査請求に対して裁決した行政庁が一度下した裁決を自ら覆す行為は、不服審査法に反し
036,2,×,○,DIFF,無効な行政行為は、正当な権限を有する行政庁または裁判所が無効の判断をして初めて効
036,3,○,○,MATCH,処分に重大かつ明白な瑕疵があり、それが当然に無効とされる場合において、当該瑕疵が
036,4,×,×,MATCH,課税処分における内容の過誤が課税要件の根幹にかかわる重大なものである場合であって
037,1,×,×,MATCH,ある行政行為が違法である場合、仮にこれが別の行政行為として法の要件を満たしていた
037,2,○,×,DIFF,瑕疵ある行政行為について取消訴訟が提起され、現に係属中である場合でも、処分庁は、
037,3,×,×,MATCH,瑕疵ある行政行為の取消しは、裁判所のみがこれを行う権限を有する。
037,4,×,×,MATCH,公務員の欠格事由に該当する者が公務員に任命され、その者が規則上当然に欠員として行
037,5,○,○,MATCH,行政行為を公務員が極度の泥酔状態や強迫状態といった、全く意思のない状態で行った行
037,6,×,×,MATCH,内容が不明確な行政行為は、無効な行政行為ではなく、取消し得べき行政行為である。
038,1,×,×,MATCH,無効な行政行為の転換には、その旨の裁判所の宣言が必要とされる。
038,2,×,×,MATCH,瑕疵の治癒とは、行政行為に軽微な瑕疵がある場合に、行
038,3,×,×,MATCH,青色申告について行政庁が行った更正処分における理由附
038,4,×,○,DIFF,条例に基づく公安委員会の開設決定の取消訴訟において、撤
038,5,×,○,DIFF,普通地方公共団体の長に対する解職請求可決による投票結
039,1,×,○,DIFF,行政行為の取消しは、その成立に瑕疵がある場合に行われるものであるのに対し、行政行
039,2,×,×,MATCH,法令上「取消し」とされている場合は、講学上も「取消し」であり、講学上の「撤回」に
039,3,×,×,MATCH,旅館業を営むXは、旅館業法によって義務付けられた営業者の講ずべき衛生措置を講じな
039,4,×,×,MATCH,公務員の懲戒免職処分は、当該公務員の制例の行為に対しての責任を追及し、公務員に制
039,5,×,×,MATCH,市町村長等は、防災法上の危険物の製造所の所有者、管理者または占有者が、同法に基づ
040,1,×,×,MATCH,国土交通大臣は、浄化槽を工場において製造しようとする者に対して行う認定の基準とな
040,2,○,○,MATCH,国家公務員（職員）に対する懲戒処分について服申立てがされた場合、事案の調査の結果
040,3,×,×,MATCH,一級建築士がその業務に関して不誠実な行為をしたとき、免許を与えた国土交通大臣は、
040,4,×,×,MATCH,国土交通大臣は指定都市県知事は、建設業の許可を受けた建設業者が許可を受けてから一
040,5,×,○,DIFF,行政行為の職権取消は、私人が既に享している権利や法的地位を変動（消滅）させる行為
040,6,×,×,MATCH,行政行為の撤回原因は、常に処分行政府および監査行政庁がいずれもが考えられる。
041,1,×,×,MATCH,相手方に利益を付与する処分の撤回は、撤回の対象となる当該処分について法律上の根拠
041,2,○,×,DIFF,瑕疵ある行政行為は、原則として取消し得るが、授益的行政行為については、取消権は制
041,3,×,○,DIFF,撤回権が留保された行政行為については、行政庁は、当該行政行為を無制限に撤回するこ
041,4,×,○,DIFF,不服申立てに対する決定、裁決は、不変更力を有するが、当該決定、裁決を行った行政庁
041,5,○,○,MATCH,既になされた行政行為と抵触する行政行為がなされた場合でも、それによって前の行政行
042,1,×,×,MATCH,行政行為の附款は、条件・期限・負担・取消権の留保および法律効果の一部除外に分けら
042,2,×,×,MATCH,行政行為の附款の一種である条件とは、主たる意思表示に付随して行政行為の相手方に対
042,3,×,×,MATCH,運転免許証の「〇年〇月〇日まで有効」という記載は、行政行為に付される附款の一種で
042,4,○,○,MATCH,許可、認可等の行政行為をするに当たっては、具体的に要件を明示してこれを取消す権利
042,5,×,×,MATCH,行政行為の附款のうち取消権の留保には、同時に無制限で規定復すべき旨の留保を付すこ
042,6,×,○,DIFF,法律が認める効果の一部を行政庁の意思に瑕係する附款は、法律にそのことを認める明文
043,1,×,×,MATCH,附款は、法律行為的行政行為にのみ付することができる。
043,2,×,×,MATCH,申請に対し許認可を与える場合、それは、申請通りの内容を行政庁として認めることを意
043,3,○,○,MATCH,準法律行為的行政行為に附款を付することはできない。
043,4,○,×,DIFF,行政行為の附款は、法令自体が認めているか、または行政庁の自由裁量に認められている
043,5,×,×,MATCH,行政行為の附款は、法令が附款を付することができる旨を明示している場合に限り、付す
043,6,○,○,MATCH,行政行為は、自由に附款を付することはできない。
043,7,○,×,DIFF,行政行為の目的に照らし必要な限度を超えて付された附款は、違法である。
043,8,○,×,DIFF,附款は、行政行為の内容について行政庁に裁量が認められている場合には、その範囲内で
043,9,×,○,DIFF,行政行為の附款を付することができる場合において、附款の内容についての明文上または
044,1,○,×,DIFF,行政庁がその裁量に任された事項について、裁量権行使の準則（裁量基準）を定めること
044,2,○,○,MATCH,法務大臣は、本邦に在留する外国人から再入国の許可申請があったときは、わが国の国益
044,3,×,×,MATCH,行政行為の附款は、当該行政行為の目的に照らして必要な限度を超えて付されたものは違
044,4,○,○,MATCH,附款が無効の場合、常に行政行為全体が無効になるとは限らない。
044,5,×,○,DIFF,附款が違法である場合は、当該附款と本体をなす行政行為とが不可分一体の関係にある場
045,1,○,○,MATCH,教科書検定の審査。判断は、申請図書について、内容が学問的に正確であるか、中立・公
045,2,○,×,DIFF,公立高等専門学校の校長は、学習態度や試験成績に関する評価を含め、校長に委ねられた
045,3,×,×,MATCH,学校施設の目的外使用を許可するか否かについては、原則として、管理者の裁量に委ねら
045,4,×,○,DIFF,道路運送法に基づく一般乗用旅客自動車運送事業（いわゆるタクシー事業）の許可につい
045,5,○,○,MATCH,地方公共団体が第三セクターたる法人の事業に関して当該法人の債権者と損害賠償契約を
046,1,×,○,DIFF,公害健康被害の補償等に関する法律に基づく水俣病の認定は、欠格事由の有無という現在
046,2,○,○,MATCH,生活保護法に基づく保護基準が前提とする「最低限度の生活」とは、専門的、技術的な見
046,3,○,○,MATCH,公務員に対して懲戒処分を行う権限を有する者は、懲戒事由に該当すると認められる行為
046,4,×,×,MATCH,公立高等専門学校の校長が学生に対し原級留置処分を行うかどうかの判断は、校長の合理
048,1,×,×,MATCH,銃砲刀剣類所持等取締法が、銃砲刀剣類の所持を原則として禁止した上で、美術品として
048,2,×,×,MATCH,児童扶養手当法の委任を受けて定められた随施行令（政令）の規定において、支給対象と
048,3,×,×,MATCH,地方自治法施行令が、公職の候補者の資格に関する公職選挙法の定める議員の解職請求代
048,4,×,×,MATCH,国家公務員の退職共済年金給付等に伴う退職一時金の利子相当額の返還について定める国
049,1,○,×,DIFF,監護法（省略）の委任を受けて定められた同法施行規則（省令）において、原則として被
049,2,×,×,MATCH,薬事法（当時）の委任を受けて、同法施行規則（省令）において一部の医薬品について郵
049,3,×,○,DIFF,通達によって示された法令解釈の適法性が訴訟において問題となったとき、裁判所は、行
050,1,×,×,MATCH,行政契約でも、その内容が国民に義務を課したり、その権利を制限するものについては、
050,2,×,×,MATCH,法令上、随意契約によることができない契約を地方公共団体が随意契約でする場合であっ
050,3,×,×,MATCH,公益防止協定をと、地方公共団体が締結する規則行政にかかる契約は、法律に根拠のない
050,4,○,×,DIFF,地方公共団体が指名競争入札に参加させようとする者を指名するに当たり、その元の経営
050,5,×,×,MATCH,地方公共団体の長が、指名競争入札の際に行う入札参加の指名に関する適に当たって、法
051,1,×,×,MATCH,行政契約でも、その内容が国民に義務を課したり、その権利を制限するものであっては、
051,2,○,×,DIFF,法律上、随意契約によることができない契約を地方公共団体が随意契約でする場合であっ
051,3,×,×,MATCH,公害防止協定など、地方公共団体が締結する規則行政に係る契約は、法律に根拠のない権
051,4,○,○,MATCH,地方公共団体が指名競争入札に参加させようとする者を指名するに当たり、かかるその業
051,5,×,×,MATCH,地方公共団体の長が、指名競争入札の際に行う入札参加の指名に当たって、法令の趣旨に
052,1,×,×,MATCH,行政指導は、行政目的を実現するために一定の作為又は不作為を求める指導・勧告・助言
052,2,×,×,MATCH,行政指導は、法令に根拠を有しない場合にも行うことができるので、それは事業主への作
052,3,○,○,MATCH,行政指導には、法令の根拠を有する場合とそうでない場合とがあるが、その内容は、あく
052,4,×,×,MATCH,行政指導は、その内容が強制的なものである場合には法令の根拠を要するが、それ以外の
052,5,×,×,MATCH,行政指導の事実上の効果は、行政処分とそれによる差異はないので、行政指導についても
052,6,×,×,MATCH,行政指導は、行政機関の行う事実上の行為であり、相手方はその内容に不服がある場合は
053,1,×,○,DIFF,自然的条件において、取水源が貧困で現在の取水量を増加させることが困難である水源等
053,2,×,○,DIFF,行政指導として教育施設の充実に充てるために事業主に対して寄付金の納付を求めること
053,3,×,×,MATCH,水道事業者である地方公共団体が、建築指導要網に従わないことを理由に建築申請中のマ
053,4,×,×,MATCH,建築基準法に違反し、建築確認を受けずにされた増築部分につき、地方公共団体の職員が
053,5,○,○,MATCH,行政指導によって損害を被った相手方は、国家賠償法第1条による損害賠償の請求を行い
054,1,×,×,MATCH,保健所職員が行う飲食店に対する食品衛生法に基づく調査の手続は、行政手続法の定める
054,2,×,×,MATCH,税務調査については、質問検査の範囲・程度・時期・場所等について法律に明らかに規定
054,3,×,×,MATCH,警察官職務執行法により、職務質問に付随して行う所持品検査は、検査の必要性、緊急性
054,4,×,×,MATCH,交通の取締を目的として、警察官が自動車の検問を行う場合には、任意の手段により、走
054,5,×,×,MATCH,税務調査の質問・検査権限は、犯罪の証拠資料の収集をその捜査のための手段として行使
055,1,×,×,MATCH,義務不履行者に対し義務履行を確保するためには、行政機関は裁判所に申請して司法的執
055,2,×,×,MATCH,国又は地方公共団体が財産権の主体として国民に対して義務履行を求める所謂私、裁判所
055,3,○,○,MATCH,国又は地方公共団体が専ら行政権の主体として国民に対して行政上の義務履行を求める所
055,4,○,×,DIFF,行政上の強制執行を行政上の即時強制とは、前者が義務の不履行を前提としているのに対
055,5,×,○,DIFF,行政上の義務の履行確保に関しては、行政代執行法で定めるところによることとした上で
056,1,×,×,MATCH,代執行とは、義務者の義務の不履行があった場合に直接に義務者の身体または財産に実力
056,2,×,○,DIFF,行政代執行とは、行政上の義務の臨限行為を介在させず、直接で民限の作為または財産に
056,3,×,×,MATCH,代執行の対象となる義務は、法令または行政処分に基づく代替的作為義務および不作為義
056,4,×,○,DIFF,無許可営業をしている者の不作為義務については、営業停止命令を出すことにより不作為
056,5,×,×,MATCH,家屋を除去すべき義務のある者がその義務を履行しない場合に、行政庁が自ら当該家屋を
056,6,×,×,MATCH,義務不履行者に対しては、行政機関の職員による行政強制を通じて、義務を履行させるこ
056,7,○,×,DIFF,義務不履行者に対しては、行政強制、前訴則の接接触などによる契約性の確保が図られる
057,1,×,×,MATCH,届出義務の不履行に対しては、代執行の手続の1つである戒告により、履行の確保が図ら
057,2,○,○,MATCH,行政上の代執行については、行政代執行法がその一般法であるので、他の法律に特別の定
057,3,×,×,MATCH,行政代執行法の定める手続的要件は、違法上の要素と解されているので、個別の法律で簡
057,4,○,×,DIFF,代執行の対象とされる義務は、法律（法律の委任に基づく命令、規則及び条例を含む。）
057,5,×,○,DIFF,行政代執行法に基づく代執行の対象となる義務は、「法律」により直接命じられ、または
057,6,○,×,DIFF,行政代執行法によれば、代執行が行われれば、代執行作為義務の場面に限られるので、そ
058,1,×,×,MATCH,公物の占用許可を取り消された者は、当該占用が当初許可を除去すべき義務を負うので、
058,2,○,○,MATCH,代執行が行われるのは、義務の履行がなく、他の手段によってその履行を確保することが
